::1 - - [13/Jun/2025:10:15:50 +0000] "GET / HTTP/1.1" 200 1956 "-" "curl/8.5.0"
172.18.0.1 - - [13/Jun/2025:10:15:51 +0000] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 403 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.18.0.1 - - [13/Jun/2025:10:15:51 +0000] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 403 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
::1 - - [13/Jun/2025:10:16:20 +0000] "GET / HTTP/1.1" 200 1956 "-" "curl/8.5.0"
::1 - - [13/Jun/2025:10:16:50 +0000] "GET / HTTP/1.1" 200 1956 "-" "curl/8.5.0"
::1 - - [13/Jun/2025:10:17:21 +0000] "GET / HTTP/1.1" 200 1956 "-" "curl/8.5.0"
::1 - - [13/Jun/2025:10:17:51 +0000] "GET / HTTP/1.1" 200 1956 "-" "curl/8.5.0"
::1 - - [13/Jun/2025:10:18:21 +0000] "GET / HTTP/1.1" 200 1956 "-" "curl/8.5.0"
172.18.0.1 - - [13/Jun/2025:10:18:28 +0000] "GET /about HTTP/1.1" 404 1235 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.18.0.1 - - [13/Jun/2025:10:18:28 +0000] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 403 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.18.0.1 - - [13/Jun/2025:10:18:30 +0000] "GET / HTTP/1.1" 200 834 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.18.0.1 - - [13/Jun/2025:10:18:30 +0000] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 403 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.18.0.1 - - [13/Jun/2025:10:18:31 +0000] "GET /items HTTP/1.1" 200 834 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.18.0.1 - - [13/Jun/2025:10:18:31 +0000] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 403 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.18.0.1 - - [13/Jun/2025:10:18:32 +0000] "GET /items HTTP/1.1" 200 834 "http://localhost:8080/items" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
172.18.0.1 - - [13/Jun/2025:10:18:32 +0000] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 403 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
